Name,Review,SkuInfo,Date,StarCount
Angela W.,"Received item in good condition.
The quality of the mask a bit dropped, the mask getting thinner compared to others.",Color Family:White-50PCS,08 Oct 2023,5
HONG Y.,Why my packing got burn? delivery my packing got burn a hole.,Color Family:White-50PCS,13 May 2024,5
Iswaran M.,"The KF94 mask provides excellent protection., fast delivery and good packaging",Color Family:Grey-50PCS,29 Feb 2024,5
Angela W.,"Received items in good condition.
Just take a bit longer time to receive it due to it is a pre order products.",Color Family:Black-50PCS,02 Jan 2024,5
A***.,Finally received this order. Take few weeks to receive it. Good value for money.,Color Family:White-50PCS,17 Jan 2024,4
L***M,Finally received the mask.  take few week to receive it.  Good value for money.,Color Family:Black-50PCS,4  weeks ago,5
Jestine,"Order received in good condition, very fast delivery, highly recommended seller",Color Family:Black-50PCS,06 Oct 2023,5
T***m,"Order received in good condition, very fast delivery, mask quality ok, thanks seller",Color Family:White-50PCS,28 Jun 2024,5
Nazari M.,"Goods received in good condition, masks a bit thin but match the price",Color Family:White-50PCS,30 Jun 2024,5
ching W.,口罩品质应该没有问题，已经是N次购买，就是送货的有问题，随便把东西丢在地上。,Color Family:Black-50PCS,24 Nov 2023,4
L***.,"items safely received, well packed. quality as per described. recommend seller and will deal again. 货品安全接收，完美安全包装。品质有如描述一样。推荐商家，会再次购买。",Color Family:Black-50PCS,7  days ago,5
1***2,"The KF94 mask provides excellent protection.,",Color Family:White-50PCS,07 Jun 2024,5
Angela W.,"Received item in good condition.
The mask quality getting thinner.",Color Family:Black-50PCS,08 Oct 2023,5
leow B.,Good receive in good condition tq lazada and courier person,Color Family:White-50PCS,02 Oct 2023,5
L***.,The goods are received in good condition of good value of moneys,Color Family:Black-50PCS,20 Apr 2024,5
lam K.,Good 👍 👍 👍 👍 👍 price is ok too 👌 👍 😄 😀  received in good condition,Color Family:Black-50PCS,16 Aug 2023,5
Chong M.,"repeat purchase as this is comfortable and value buy
fast shipping and delivery",Color Family:White-50PCS,4  weeks ago,5
Siew M.,"good, fast delivery.",Color Family:Grey-50PCS,10 Jun 2024,5
s***n,Item received in good condition. very fast delivery.,Color Family:White-50PCS,30 Aug 2023,5
ching W.,"Item received in good condition,fast delivery and good packing....",Color Family:Grey-50PCS,02 Aug 2023,5
P***.,"Satisfied with the price. Also fast delivery from seller, appreciate it.",Color Family:White-50PCS,02 Jul 2024,5
P***.,"Great design, love it!,",Color Family:White-50PCS,02 Jul 2024,5
viny T.,Fast delivery and receiving in good condition well packing,Color Family:Matcha-50PCS,09 May 2024,5
Bobo W.,Fast delivery and receiving in good condition well packing,Color Family:White-50PCS,15 Jun 2023,5
*******121,"good product, fast delivery, thank you seller, thank you lazada 👍👍👍",Color Family:White-50PCS,18 Apr 2024,5
viny T.,good price but a bit thin compare to the exact same item I bought before,Color Family:White-50PCS,09 May 2024,5
tey S.,Fast delivery and receiving in good condition 👍🏻👍🏻👍🏻,Color Family:Grey-50PCS,27 Apr 2024,5
Steph Y.,"fasttttttttttt deliveryyyyyyyyyy, thank youuuuuuu seller 👍🏻👍🏻👍🏻👍🏻👍🏻",Color Family:White-50PCS,19 Mar 2024,5
Khoo S.,Sudap beli banyak kali. Tapi tak ada apa special offer harap lain kali ada special offer. Good good good good good good good good good good good good good good good good good good good good,Color Family:White-50PCS,25 Jan 2024,5
T***.,"Good service, fast delivery, Great design, love it!, The KF94 mask provides excellent protection.,",Color Family:Black-50PCS,03 Mar 2024,5
Lily V.,good good 👍,Color Family:White-50PCS,03 May 2024,5
Khoo S.,Item well received. Quanlity looks ok. .................,Color Family:White-50PCS,22 Jan 2024,5
PANG T.,"The KF94 mask provides excellent protection., Great design, love it!, repeat order",Color Family:White-50PCS,01 May 2023,5
*******121,"good product, fast delivery, thank you seller, thank you lazada 👍👍👍",Color Family:White-50PCS,06 Feb 2024,5
N***.,卖家发货很快运输物流也是速度超级快隔天就收到了。口罩质量蛮不错的蛮厚的不会薄薄的谢谢卖家下次还会继续购买的。,Color Family:Matcha-50PCS,02 Mar 2024,5
L***.,卖家发货很快运输物流也是速度超级快隔天就收到了。口罩质量蛮不错的蛮厚的不会薄薄的谢谢卖家下次还会继续购买的。,Color Family:Black-50PCS,03 Dec 2023,5
L***.,My family favourite face mask. Good quality and comfortable to wear. certainly provide good protection.,Color Family:Dark blue-50PCS,03 Dec 2023,5
L***.,"The KF94 mask provides excellent protection., Great design, love it!,",Color Family:Matcha-50PCS,29 Nov 2023,5
Khoo S.,Fast delivery and in correct quantity. have used this brand for quite some time now.  satisfied with the product,Color Family:Black-50PCS,25 Jan 2024,5
****1,Been using this mask for some time. Very for money and soft.,Color Family:White-50PCS,21 Jan 2024,5
Sally L.,"Great design, love it!, The KF94 mask provides excellent protection., will repeat older again ,thanks seller",Color Family:White-50PCS,10 Nov 2023,5
Lily V.,"thanks seller, Lazada and despatch boy. items received in good condition.  pricing very reasonable. will order again in future.",Color Family:White-50PCS,27 Mar 2024,5
1***9,Yeppi yesesesesesessesddhfhdhfbfbfbfbfbfbbffbfbfbcbcb,Color Family:Black-50PCS,15 Jan 2024,5
Tan S.,Nipis..setimpal dengan harga ..order headloop hitam yang dapat headloop putih..Hurmmm..kalau dah habis stok bagitaulah dulu sebelum ship..,Color Family:Black-50PCS,16 Dec 2023,5
T***.,very fast delivery! so far the quality is ok and packaging also ok.,Color Family:White-50PCS,10 Dec 2023,5
FARMASI K.,well packed n fast delivery and thank you so much seller n Lazada,Color Family:Black-50PCS,09 Dec 2023,5
Ser C.,Suitable for adults,Color Family:Black-50PCS,07 Dec 2023,5
A***a,"fast delivery. 
receive in good condition 
good value for money.",Color Family:White-50PCS,07 Feb 2023,5
Gregory C.,"Quality Mask and worth the money for purchase
Got it value for money
Recommend to purchase from this seller
Just a little slow but over all good",Color Family:Black-50PCS,30 Dec 2022,5
W***.,Fast delivery and with nice packaging Thank you seller!!!!!,Color Family:Rose Gold-50PCS,13 Dec 2022,5
Iswaran M.,order item received with good condition and this is my third purchase from this seller.,Color Family:Black-50PCS,05 Dec 2022,5
Evonne L.,received in good condition and good value for money.  satisfied with the product quality and fast.,Color Family:Black-50PCS,01 Dec 2022,5
Leelee L.,very good quality and this is my second time ordered...thks.,Color Family:Black-50PCS,30 Nov 2022,5
c***.,"TERBAIK, KEDAI YANG PALING MURAH TAPI KUALITI SAMA JER DGN YG LAIN, RECOMMEND",Color Family:Black-50PCS,07 Nov 2022,5
HS L.,thank you seller❤️,Color Family:Black-50PCS,18 Oct 2022,5
Ruth W.,"Item arrived in 11 days. Good quality, will repurchase again.",Color Family:Grey-50PCS,05 Oct 2022,5
Q***y,"smpai cepat jugak, smuanya cukup seperti yg saya order. quality okay la",Color Family:Black-50PCS,29 Sep 2022,5
lann,"Barang selamat diterima..
harga berpatutan...
tq seller....",Color Family:Grey-50PCS,29 Sep 2022,5
R***.,fast delivery and item deliver correctly. good price and products packaging  handle with care,Color Family:Black-50PCS,24 Sep 2022,5
D***N,ok thanks..barang dah terima cukup kiraan 50 keping..tq...,Color Family:Grey-50PCS,24 Sep 2022,5
W***.,"😊😊😊😊😊😊😊😊😊😊😊😊
😜😜😜😜😜😜😜😜😜😜😜😜
Good",Color Family:Grey-50PCS,22 Sep 2022,5
Iswaran M.,"This is my 2nd time order from this seller, all item buy from this seller is good quality and recommended. thank you seller and Lazada.. I will repeat order soon.",Color Family:Black-50PCS,21 Sep 2022,5
Lee P.,"received items in good condition , 👍 thanks seller 👍😃 Will purchase again",Color Family:Black-50PCS,12 Sep 2022,5
C***.,Fast delivery with black beg packaging. Good quality of the products and good value for the money.  Highly recommended seller and surely will repeat order again if necessary,Color Family:White-50PCS,29 Jul 2022,5
C***.,"Good product with good quality!!! 
Buy 100 pcs dpt 100 pcs!!!",Color Family:Black-50PCS,18 Jul 2022,5
Sherry L.,"Received in the good condition, good value for money, fast delivery and tq seller.",Color Family:White-50PCS,14 Jul 2022,5
c***g,beli 150..semua cukup. Dan seller beri 1 pack percuma 😍 thank you seller. Mask pun berkualiti.,Color Family:White,17 Jun 2022,5
Tan S.,"nampak nipis ,kualiti tidak begitu memuaskan,dulu beli lebih tebal,cantik",Color Family:White Green,07 Jun 2022,5
Alison Y.,"Its quite thin but for the price, its ok.",Color Family:White Green,30 May 2022,5
Kelly C.,"Received in good condition. Will repeat order after finish using. Good value for money. Thanks,",Color Family:Grey,14 May 2022,5
C***.,"Parcel received in good condition and good value for money, good quality products",Color Family:White,13 May 2022,5
chang W.,slightly thinner than the one i normally buy from pharmacy Yukazan but still can be uswd. i guess most seller trying to sell of the stock due to endemic.  got at a bargain price of rm28 for 150pc.  tq seller,Color Family:Black,28 Apr 2022,5
Mimi T.,came in good condition. packing can be improved even though it was nothing fragile.,Color Family:White,26 Apr 2022,5
S***.,"Items received in good condition, the packaging is not bad .",Color Family:Black,16 Apr 2022,5
TAM S.,fast deliver. nit yet try do not know ehethrt ok or not. hoping it will ok,Color Family:White-50PCS,15 Jul 2022,5
F***.,"Received with good condition, value of money and fast delivery.",Color Family:Black,02 Jun 2022,5
1***9,"fast delivery 
quanlity is acceptable
readable price
will purchase again",Color:Black,16 May 2022,5
Siti Z.,"penghantaran cepat tapi mask ni nipis dan berbau cikit..
was2 nk pkai kat org ramai",Color Family:White-50PCS,12 Jul 2022,5
Yan H.,"received in good condition, thank you seller",Color Family:White,26 May 2022,5
Muhammad H.,"really good and comfortable to wear, an absolute bargain to buy highly recommended",Color Family:Dark blue-50PCS,06 Oct 2023,5
J***.,"good.....
wear so comfortable
value to buy it
and fast to recieve it",Color Family:Black-50PCS,20 Aug 2022,5
SooLee,Second time buying this brand. It’s cheap and quality is ok. Delivery is very fast too.,Color Family:Dark blue-50PCS,11 Oct 2023,5
Jocelyn Q.,tq seller brng dah slmt smpi 👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️👍❤️,Color Family:Dark blue-50PCS,18 Nov 2023,5
Siow H.,"Delivery ok, but it thinner from my last purchase",Color Family:Black-50PCS,02 Nov 2023,5
p***g,"Very comfortable mask, very good, thank you.",Color Family:White,21 Mar 2022,5
L***.,very good 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,Color Family:White-50PCS,03 Nov 2023,5
1***2,Fast shipping and received in good condition.. Thanks seller and Lazada..,Color Family:Black-50PCS,16 Aug 2023,5
faris,"The KF94 mask provides excellent protection., Great design, love it!, The KF94 mask provides excellent protection., Great design, love it!,",Color Family:Black-50PCS,14 Jun 2024,5
Noor A.,很好,Color Family:Dark blue-50PCS,29 Jul 2023,5
Evelyn W.,good quality and price is cheaper than other sellers.  we like to use this as it is light and design is cute. delivery pun fast and well packed too,Color Family:Black-50PCS,09 May 2023,5
Nora A.,tq....parcel da sampai...murah bebaloi².lain kali bole bli lg,Color Family:Black-50PCS,22 Sep 2023,5
SLE,"thanks seller and courier,..The KF94 mask provides excellent protection., Great design, love it!, .. always repeat order... very comfortable.. simple...",Color Family:Black-50PCS,18 Oct 2023,5
claudia C.,Received in good condition. Good quality. Thank you seller,Color Family:Grey-50PCS,07 Oct 2023,5
Iswaran M.,"Hi seller, ordered item received with good condition, i will repeat order soon.",Color Family:Black-50PCS,24 Aug 2023,5
Jenny T.,tq...brg da sampai..semua ok..penghantaran laju..murah sgt,Color Family:Grey-50PCS,29 Nov 2023,5
Yyan L.,good,Color Family:Grey-50PCS,3  weeks ago,5
L***.,"The KF94 mask provides excellent protection., Great design, love it!,",Color Family:Black-50PCS,3  weeks ago,5
1***0,"Received the parcel in good conditions, Good product thank you seller 👍👍👍👍👍👍",Color Family:White-50PCS,13 May 2023,5
Kew,arrived on time.packed very well.slightly thinner when compared with my previous purchase,Color Family:Black-50PCS,23 May 2024,5
1***5,"Great design, love it!, The KF94 mask provides excellent protection.,",Color Family:Black-50PCS,4  weeks ago,5
Siow H.,"comfortable, not too tight",Color Family:Black-50PCS,23 Aug 2023,5
CL,Fast delivery with good packaging. Product quality is good.,Color Family:White-50PCS,22 Aug 2022,5
Jake A.,the mask is quality and worth it. i will buy more in the future!,Color Family:White-50PCS,16 Aug 2022,5
1***3,"KF94 masks looks good and packed nicely. They also arrived fast and in the quantity ordered.

Plus rebate card too.",Color Family:White-50PCS,11 Aug 2022,5
F***.,"Received with good condition, value of money and fast delivery.",Color Family:White-50PCS,28 Jul 2022,5
Lau C.,Received in good condition good value for money and delivery,Color Family:Black-50PCS,27 Jul 2022,5
Zayaana S.,Really quick delivery. All are in. Thank you,Color Family:Black-50PCS,25 Jul 2022,5
Sani N.,"items received safely
receive as per oder
good product and good packaging
tq Lazada seller and shipping partner",Color Family:Black-50PCS,07 Jul 2022,5
c***.,Item received in good condition Good product quality  😃👍👍👍Recommended,Color:White,14 Apr 2022,5
chan K.,Delivery time  is acceptable. Price is very reasonable. Not for medical use. It is made in China not Korea,Color Family:Grey,05 Apr 2022,5
T***.,"Product received in good condition. 
Product packaging are good.",Color Family:White-50PCS,17 Aug 2022,5
W***.,"received with thanks, quality not thick enough compare to others brands",Color Family:White-50PCS,10 Jul 2023,5
T***.,Delivery is considered slow. But arrived in good condition and good quality,Color Family:White-50PCS,11 Jun 2023,5
Iswaran M.,Memang selalu guna jenis ni..stok dah habis..kena beli sbb kadang x sihat.,Color Family:White-50PCS,29 Jun 2022,5
Yan E.,item received in good condition.. we will repeat order. thank you seller...,Color Family:Black-50PCS,29 Aug 2023,5
Yan E.,"The goods have been received, thank you seller 😊😊",Color Family:Black-50PCS,29 Aug 2023,5
